gw1n2-016,GW1N-UV2MG132XC6/I5,GW1N,GW1N-2,MBGA132X,UV,C6/I5,6,105,2304,2016,18432bit,72Kb,256Kb,,1,MBGA132X-UV
gw1n2-017,GW1N-LV2MG132C6/I5,GW1N,GW1N-2,MBGA132,LV,C6/I5,6,95,2304,2016,18432bit,72Kb,256Kb,,1,
gw1n2-018,GW1N-UV2MG132C6/I5,GW1N,GW1N-2,MBGA132,UV,C6/I5,6,95,2304,2016,18432bit,72Kb,256Kb,,1,
gw1n2-019,GW1N-LV2QN48C6/I5,GW1N,GW1N-2,QFN48,LV,C6/I5,6,41,2304,2016,18432bit,72Kb,256Kb,,1,
gw1n2-020,GW1N-UV2QN48C6/I5,GW1N,GW1N-2,QFN48,UV,C6/I5,6,41,2304,2016,18432bit,72Kb,256Kb,,1,
gw1n2-021,GW1N-LV2QN48MC6/I5,GW1N,GW1N-2,QFN48M,LV,C6/I5,6,31,2304,2016,18432bit,72Kb,256Kb,,1,
gw1n2-022,GW1N-LV2QN48EC7/I6,GW1N,GW1N-2,QFN48E,LV,C7/I6,7,27,2304,2016,18432bit,72Kb,256Kb,,1,
gw1n2-023,GW1N-LV2MG132C7/I6,GW1N,GW1N-2,MBGA132,LV,C7/I6,7,95,2304,2016,18432bit,72Kb,256Kb,,1,
gw1n2-024,GW1N-UV2MG132C7/I6,GW1N,GW1N-2,MBGA132,UV,C7/I6,7,95,2304,2016,18432bit,72Kb,256Kb,,1,
gw1n2-025,GW1N-LV2QN48EC6/I5,GW1N,GW1N-2,QFN48E,LV,C6/I5,6,27,2304,2016,18432bit,72Kb,256Kb,,1,
gw1nr2-000,GW1NR-LV2MG49PC7/I6,GW1NR,GW1NR-2,MBGA49P,LV,C7/I6,7,30,2304,2016,18432bit,72Kb,256Kb,,1,
gw1nr2-001,GW1NR-UV2MG49PC7/I6,GW1NR,GW1NR-2,MBGA49P,UV,C7/I6,7,30,2304,2016,18432bit,72Kb,256Kb,,1,
